stop_id,stop_name,stop_lat,stop_lon
DS13,NE135ST& NE25AVE,25.900029, -80.150755 
DS14,NE 135 ST & 24 CT,25.900384, -80.152714 
DS15,Biscayne BLVD & NE 135 ST - NE Corner,25.900514, -80.160139 
DS16,Biscayne & 140 ST - Target/Post Office,25.906243, -80.158423 
DS17,Biscayne BLVD & NE 145 ST - Publix,25.910257, -80.156836 
DS18,NE 151 ST & Biscayne Blvd,25.914946, -80.156111 
DS19,David K. Lawrence K-8 School,25.915448, -80.148022 
DS20,Florida International University - Library,25.911110, -80.139989 
DS21,Alonzo & Tracy Mourning High School,25.915664, -80.148744 
DS22,Biscayne BLVD southbound near Total Wine,25.914616, -80.156812 
DS23,146 ST & NE 18 AVE,25.910443, -80.163004 
DS24,NE 16 AVE & 143 ST,25.906992, -80.167127 
DS25,NE 16 AVE & 139 ST,25.904258, -80.167065 
DS26,135 ST & NE 16 ST - Enchanted Forest Park,25.900216, -80.166037 
DS27,Biscayne BLVD & NE 135 ST,25.899540, -80.160876 
DS28,Biscayne BLVD & 130 ST,25.896687, -80.161724
